chain,spiritCode,name_en,brand_en,regionCode,countryCode,city_en,address1_en,latitude,longitude,propertySiteURL_en,rateDataAvailable,approxAnnualAverageRateLocal,approxAnnualAverageRateCurrency,approxAnnualAverageRateBasis,approxAnnualAverageRateSampleCount,currentOfficialLeadRateLocal,currentOfficialLeadRateFmt,currentOfficialLeadRatePlanCode,currentOfficialLeadRatePlanName,rateDataCaveat
Hilton,HILTON-HGHLIHI,Hilton Linzhi Resort,Hilton Hotels & Resorts,MAINLAND_CN,CN,Nyingchi City,"Gongbo Manor, Mainling County, Nyingchi City, China",29.261,94.293784,https://www.hilton.com/en/hotels/hghlihi-hilton-linzhi-resort/,true,620,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,620,¥620,HPPAP4,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-DSNKBGI,Hilton Garden Inn Ordos Kangbashi,Hilton Garden Inn,MAINLAND_CN,CN,Ordos,"No.2 Nadamu Street, Kangbashi District, Inner Mongolia Province, Ordos, China",39.645202,109.810419,https://www.hilton.com/en/hotels/dsnkbgi-hilton-garden-inn-ordos-kangbashi/,true,321,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,321,¥321,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-PZIPZHX,Hampton by Hilton Panzhihua Central Plaza,Hampton by Hilton,MAINLAND_CN,CN,Panzhihua,"No.2 Central Plaza, Airport Rd,, Panzhihua, China",26.534255,101.713173,https://www.hilton.com/en/hotels/pzipzhx-hampton-panzhihua-central-plaza/,true,416,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,416,¥416,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-PZIZAHT,Home2 Suites by Hilton Panzhihua Huacheng New District,Home2 Suites by Hilton,MAINLAND_CN,CN,Panzhihua,"No. 150 Sanxian Avenue, Renhe District, Panzhihua, Sichuan, Panzhihua, China",26.522717,101.73803,https://www.hilton.com/en/hotels/pzizaht-home2-suites-panzhihua-huacheng-new-district/,false,,CNY,not_available_from_current_official_public_source,0,,,,,Hilton extract row has no leadRate.lowest object.
Hilton,HILTON-YNTLVLX,"Longting Vineyard Hotel, an SLH Hotel",Small Luxury Hotels of the World,MAINLAND_CN,CN,Penglai City,"No. 1 Longting Road, Liujiagou Town, Shandong, Penglai City, China",37.772722,120.901533,https://www.hilton.com/en/hotels/yntlvlx-longting-vineyard-hotel/,true,1850,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,1850,"¥1,850",HPPRP1,Honors Discount Breakfast Included,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-CTUPZHT,Home2 Suites by Hilton Chengdu Pengzhou,Home2 Suites by Hilton,MAINLAND_CN,CN,Pengzhou,"No.1175, Section 1, Pengpi Road, Zh, Pengzhou, China",30.949267,103.941892,https://www.hilton.com/en/hotels/ctupzht-home2-suites-chengdu-pengzhou/,true,320,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,320,¥320,SHTH4A,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NNYPDHT,Home2 Suites by Hilton Ruzhou,Home2 Suites by Hilton,MAINLAND_CN,CN,Pingdingshan,"No. 306, Jucheng Jianguo Hotel, Pingdingshan, China",34.146601,112.865671,https://www.hilton.com/en/hotels/nnypdht-home2-suites-ruzhou/,false,,CNY,not_available_from_current_official_public_source,0,,,,,Hilton extract row has no leadRate.lowest object.
Hilton,HILTON-PXGPGHX,Hampton by Hilton Pingxiang,Hampton by Hilton,MAINLAND_CN,CN,Pingxiang,"Zhongding Int'l Commercial Plaza,, Pingxiang, China",27.648543,113.885189,https://www.hilton.com/en/hotels/pxgpghx-hampton-pingxiang/,true,395,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,395,¥395,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-OPQPUHX,Hampton by Hilton Puning Square,Hampton by Hilton,MAINLAND_CN,CN,Puning,"Building E, Times Center, Puning, China",23.311783876,116.1772928,https://www.hilton.com/en/hotels/opqpuhx-hampton-puning-square/,false,,CNY,not_available_from_current_official_public_source,0,,,,,Hilton extract row has no leadRate.lowest object.
Hilton,HILTON-FOCLDDI,DoubleTree by Hilton Hotel Putian,DoubleTree by Hilton,MAINLAND_CN,CN,Putian,"No. 2276 Middle Licheng Avenue, Putian, China",25.45172,119.009878,https://www.hilton.com/en/hotels/foclddi-doubletree-putian/,true,352,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,352,¥352,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-HGHLRHI,Hilton Hangzhou Qiandao Lake Resort,Hilton Hotels & Resorts,MAINLAND_CN,CN,"Qiandao Lake, Chun'an County","600 Huanhu North Road, Qiandao Lake, Chun'an County, China",29.609994,119.084574,https://www.hilton.com/en/hotels/hghlrhi-hilton-hangzhou-qiandao-lake-resort/,true,494,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,494,¥494,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-JIQQIHX,Hampton by Hilton Qianjiang,Hampton by Hilton,MAINLAND_CN,CN,Qianjiang,"NO.1 Dongcheng Avenue, Qianjiang, Qianjiang, China",30.396084,112.918352,https://www.hilton.com/en/hotels/jiqqihx-hampton-qianjiang/,true,477,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,477,¥477,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-PVGQDDI,DoubleTree by Hilton Qidong,DoubleTree by Hilton,MAINLAND_CN,CN,Qidong,"BLDG 1, Yinzhou Financial Center,, Qidong, China",31.81083,121.65985,https://www.hilton.com/en/hotels/pvgqddi-doubletree-qidong/,true,423,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,423,¥423,HPPAP4,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-LLFGIGI,Hilton Garden Inn Qidong,Hilton Garden Inn,MAINLAND_CN,CN,Qidong,"No. 588-1 Central Park Mall,, Qidong, China",31.804665,121.680222,https://www.hilton.com/en/hotels/llfgigi-hilton-garden-inn-qidong/,true,266,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,266,¥266,HPPAP4,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-TAOLXDI,DoubleTree by Hilton Hotel Qingdao-Jimo,DoubleTree by Hilton,MAINLAND_CN,CN,Qingdao,"No. 79 Shengxing Rd, Jimo District, Qingdao, China",36.391008,120.442792,https://www.hilton.com/en/hotels/taolxdi-doubletree-qingdao-jimo/,true,343,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,343,¥343,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-TAOMMDI,DoubleTree by Hilton Qingdao Oriental Movie Metropolis,DoubleTree by Hilton,MAINLAND_CN,CN,Qingdao,"788 Xinghaiwan Road,, Qingdao, China",35.899,120.109918,https://www.hilton.com/en/hotels/taommdi-doubletree-qingdao-oriental-movie-metropolis/,true,335,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,335,¥335,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-TAOJZHX,Hampton by Hilton Qingdao Airport,Hampton by Hilton,MAINLAND_CN,CN,Qingdao,"No.6 Zhanqian Avenue,Jiaozhou, Qingdao, China",36.390843,120.052506,https://www.hilton.com/en/hotels/taojzhx-hampton-qingdao-airport/,true,341,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,341,¥341,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-TAOCHHX,Hampton by Hilton Qingdao CBD,Hampton by Hilton,MAINLAND_CN,CN,Qingdao,"No.132 Fuzhou North Road, Qingdao, China",36.10434571917,120.39734507691,https://www.hilton.com/en/hotels/taochhx-hampton-qingdao-cbd/,true,494,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,494,¥494,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-TAOPHHX,Hampton by Hilton Qingdao Chengyang,Hampton by Hilton,MAINLAND_CN,CN,Qingdao,"167 Chengyangzhong Road, Qingdao, China",36.30576125,120.40506782,https://www.hilton.com/en/hotels/taophhx-hampton-qingdao-chengyang/,true,362,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,362,¥362,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
