spiritCode,name_en,name_zh,brand_en,brand_zh,brandKey,hotelStatus,propertyType,gpCategory,city_en,city_zh,province_en,province_zh,address1_en,address1_zh,zipcode,latitude,longitude,phone,propertySiteURL_en,propertySiteURL_zh,bookableDate,openDate,checkinTime,checkoutTime,nonSmoking
SHANGRI-LA-dalian-www-shangri-la-com-cn-dalian-shangrila,,大连香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Dalian,大连,Liaoning,辽宁,,,,,,,https://www.shangri-la.com/en/dalian/shangrila/,https://www.shangri-la.com/cn/dalian/shangrila/,,,,,
SHANGRI-LA-fuzhou-www-shangri-la-com-cn-fuzhou-shangrila,,福州香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Fuzhou,福州,Fujian,福建,,,,,,,https://www.shangri-la.com/en/fuzhou/shangrila/,https://www.shangri-la.com/cn/fuzhou/shangrila/,,,,,
SHANGRI-LA-guangzhou-www-shangri-la-com-cn-guangzhou-shangrila,,广州香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Guangzhou,广州,Guangdong,广东,,,,,,,https://www.shangri-la.com/en/guangzhou/shangrila/,https://www.shangri-la.com/cn/guangzhou/shangrila/,,,,,
SHANGRI-LA-guilin-www-shangri-la-com-cn-guilin-shangrila,,桂林香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Guilin,桂林,Guangxi,广西,,,,,,,https://www.shangri-la.com/en/guilin/shangrila/,https://www.shangri-la.com/cn/guilin/shangrila/,,,,,
SHANGRI-LA-hangzhou-www-shangri-la-com-cn-hangzhou-gongshudistrict-pre-opening,,杭州JEN酒店,JEN Hotels,JEN 酒店,jen-hotels,OPENING_SOON,Hotel,Luxury,Hangzhou,杭州,Zhejiang,浙江,,,,,,,https://www.shangri-la.com/en/hangzhou/gongshudistrict/pre-opening,https://www.shangri-la.com/cn/hangzhou/gongshudistrict/pre-opening,,2026,,,
SHANGRI-LA-hangzhou-www-shangri-la-com-cn-hangzhou-midtownshangrila,,杭州城中香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Hangzhou,杭州,Zhejiang,浙江,,,,,,,https://www.shangri-la.com/en/hangzhou/midtownshangrila/,https://www.shangri-la.com/cn/hangzhou/midtownshangrila/,,,,,
SHANGRI-LA-hangzhou-www-shangri-la-com-cn-hangzhou-shangrila,,杭州香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Hangzhou,杭州,Zhejiang,浙江,,,,,,,https://www.shangri-la.com/en/hangzhou/shangrila/,https://www.shangri-la.com/cn/hangzhou/shangrila/,,,,,
CNHGH004,,杭州香格里拉饭店·水知心居,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Hangzhou,杭州,Zhejiang,浙江,,,,,,,https://www.shangri-la.com/en/hangzhou/shangrila/thesilklakehouse/?hotelCode=CNHGH004&hotel=The%20Silk%20Lakehouse%2C%20Shangri-La%20Hangzhou&city=Hangzhou&cityEn=Hangzhou,https://www.shangri-la.com/cn/hangzhou/shangrila/thesilklakehouse/?hotelCode=CNHGH004&hotel=The%20Silk%20Lakehouse%2C%20Shangri-La%20Hangzhou&city=Hangzhou&cityEn=Hangzhou,,,,,
SHANGRI-LA-harbin-www-shangri-la-com-cn-harbin-songbeishangrila,,哈尔滨松北香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Harbin,哈尔滨,Heilongjiang,黑龙江,,,,,,,https://www.shangri-la.com/en/harbin/songbeishangrila/,https://www.shangri-la.com/cn/harbin/songbeishangrila/,,,,,
SHANGRI-LA-harbin-www-shangri-la-com-cn-harbin-shangrila,,哈尔滨香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Harbin,哈尔滨,Heilongjiang,黑龙江,,,,,,,https://www.shangri-la.com/en/harbin/shangrila/,https://www.shangri-la.com/cn/harbin/shangrila/,,,,,
SHANGRI-LA-hefei-www-shangri-la-com-cn-hefei-shangrila,,合肥香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Hefei,合肥,Anhui,安徽,,,,,,,https://www.shangri-la.com/en/hefei/shangrila/,https://www.shangri-la.com/cn/hefei/shangrila/,,,,,
SHANGRI-LA-huhhot-www-shangri-la-com-cn-huhhot-shangrila,,呼和浩特香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Huhhot,呼和浩特,Inner Mongolia,内蒙古,,,,,,,https://www.shangri-la.com/en/huhhot/shangrila/,https://www.shangri-la.com/cn/huhhot/shangrila/,,,,,
SHANGRI-LA-jinan-www-shangri-la-com-cn-jinan-shangrila,,济南香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Jinan,济南,Shandong,山东,,,,,,,https://www.shangri-la.com/en/jinan/shangrila/,https://www.shangri-la.com/cn/jinan/shangrila/,,,,,
SHANGRI-LA-kunming-www-hoteljen-com-cn-kunming-panlongdistrict,,昆明JEN酒店,JEN Hotels,JEN 酒店,jen-hotels,FULLY_BOOKABLE,Hotel,Luxury,Kunming,昆明,Yunnan,云南,,,,,,,https://www.hoteljen.com/en/kunming/panlongdistrict,https://www.hoteljen.com/cn/kunming/panlongdistrict,,,,,
SHANGRI-LA-kunming-www-shangri-la-com-cn-kunming-shangrila,,昆明香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Kunming,昆明,Yunnan,云南,,,,,,,https://www.shangri-la.com/en/kunming/shangrila/,https://www.shangri-la.com/cn/kunming/shangrila/,,,,,
SHANGRI-LA-lhasa-www-shangri-la-com-cn-lhasa-shangrila,,拉萨香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Lhasa,拉萨,Tibet,西藏,,,,,,,https://www.shangri-la.com/en/lhasa/shangrila/,https://www.shangri-la.com/cn/lhasa/shangrila/,,,,,
SHANGRI-LA-manzhouli-www-shangri-la-com-cn-manzhouli-shangrila,,满洲里香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Manzhouli,满洲里,Inner Mongolia,内蒙古,,,,,,,https://www.shangri-la.com/en/manzhouli/shangrila/,https://www.shangri-la.com/cn/manzhouli/shangrila/,,,,,
SHANGRI-LA-nanchang-www-shangri-la-com-cn-nanchang-shangrila,,南昌香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Nanchang,南昌,Jiangxi,江西,,,,,,,https://www.shangri-la.com/en/nanchang/shangrila/,https://www.shangri-la.com/cn/nanchang/shangrila/,,,,,
SHANGRI-LA-nanjing-www-shangri-la-com-cn-nanjing-shangrila,,南京香格里拉,Shangri-La,香格里拉,shangri-la,FULLY_BOOKABLE,Hotel,Luxury,Nanjing,南京,Jiangsu,江苏,,,,,,,https://www.shangri-la.com/en/nanjing/shangrila/,https://www.shangri-la.com/cn/nanjing/shangrila/,,,,,
